rb,Ma,Mb,dAO,dBO,t,E_a,E_b,I_a,I_b,Nv_a,Nv_b,Ea_a,Ea_b,S_a,S_b,Atomic #a,Atomic #b,BG ao,BG bo,1E_a+1E_b,1E_a+1Ea_b,1E_a+1S_b,1E_b+1I_a,1E_b+1Ea_a,1E_b+1S_a,1I_a+1I_b,1I_a+1Nv_b,1I_a+1Ea_b,1I_b+1Nv_a,1Nv_a+1Nv_b,1Ea_a+1Ea_b,1Ea_a+1S_b,1Ea_b+1S_a,1S_a+1S_b,1E_a^2+1E_b,1E_a^2+1E_c,1E_a^2+1Ea_b,1E_b^2+1I_a,1Ea_a^2+1Ea_b,1Ea_a^2+1Ea_c,1Ea_a^2+1S_b,1Ea_b^2+1Ea_c,1S_a^2+1S_b,1E_b+1Ea_a^2,1E_b+1S_a^2,1I_a+1Ea_b^2,1I_a+1S_b^2,1Nv_a+1Ea_b^2,1Ea_b+1S_a^2,1E_a-1E_b,1E_a-1I_b,1E_a-1Nv_b,1E_a-1Ea_b,1E_a-1S_b,1E_b-1I_a,1E_b-1Nv_a,1E_b-1Ea_a,1E_b-1S_a,1E_c-1I_a,1E_c-1Ea_a,1E_c-1Ea_b,1E_c-1S_a,1E_c-1S_b,1I_a-1I_b,1I_a-1Nv_b,1I_a-1Ea_b,1I_a-1S_b,1I_b-1Nv_a,1Nv_a-1Nv_b,1Ea_a-1Ea_b,1Ea_a-1S_b,1Ea_b-1S_a,1S_a-1S_b,1E_a^2-1E_b,1E_a^2-1I_b,1E_a^2-1Ea_b,1E_a^2-1S_b,1E_b^2-1I_a,1Ea_a^2-1Ea_b,1Ea_a^2-1S_b,1S_a^2-1S_b,1E_a-1E_b^2,1E_a-1Ea_b^2,1E_b-1Ea_a^2,1E_b-1S_a^2,1E_c-1Ea_a^2,1I_a-1Ea_b^2,1I_a-1S_b^2,1Nv_a-1Ea_b^2,1Nv_a-1S_b^2,1Ea_b-1S_a^2,1E_a^2-1E_b^2,1E_a*1Nv_b,1E_a*1Ea_b,1E_b*1Ea_a,1Nv_a*1Nv_b,1Nv_a*1Ea_b,1Nv_b*1Ea_a,1Nv_b*1S_a,1Ea_a*1Ea_b,1Ea_a*1S_b,1Ea_b*1S_a,1S_a*1S_b,1E_a^2*1Nv_b,1I_a^2*1Nv_b,1Nv_b^2*1S_a,1Ea_a^2*1Ea_b,1Ea_a^2*1S_b,1Ea_b^2*1S_a,1E_a*1Nv_b^2,1E_a*1Ea_b^2,1Nv_a*1Nv_b^2,1Nv_a*1Ea_b^2,1Nv_b*1Ea_a^2,1Nv_b*1S_a^2,1Ea_a*1Ea_b^2,1Ea_a*1S_b^2,1Ea_a^2*1Ea_b^2,1Ea_a^2*1S_b^2,1I_b+2Ea_a^2,1E_a-2E_b,1I_a-2Ea_b,1I_b-2S_a^2,1Nv_a-2Ea_b^2,1Nv_a-2S_b^2,1Ea_b-2S_a^2,2Ea_a+1Ea_b,2Ea_a+1S_b,2E_a^2+1Nv_b,2Ea_a^2+1Ea_b,2E_a-1E_b,2E_a-1S_b,2I_a-1I_b,2I_b-1Nv_a,2Ea_a-1S_b,2E_a^2-1I_b,2E_a^2-1Ea_b,2E_b^2-1Nv_a,2S_a^2-1S_b,2I_a-1Ea_b^2,2E_a^2-1Ea_b^2,BG
0.76,65,86,1.805,2.06,0.942,1.93,1.9,7.5762339999999995,7.285516,11,5,1.3019999999999998,0.942362,1.18,2.04,47,83,0.0,0.0,3.83,2.872362,3.97,9.476234,3.202,3.08,14.86175,12.576234,8.518596,18.285516,16,2.244362,3.342,2.122362,3.22,5.6249,7.1648999999999985,4.667262,11.186233999999999,2.637566,3.1563174999999988,3.735204,2.3491596390439997,3.4324,3.5952039999999994,3.2924,8.464280139044,11.737834,11.888046139044,2.334762,0.030000000000000027,-5.3555160000000015,-3.0700000000000003,0.987638,-0.1100000000000001,-5.676234000000001,-9.1,0.5980000000000001,0.72,-4.136234,2.138,2.4976380000000002,2.26,1.4,0.29071800000000003,2.5762340000000004,6.633872,5.536233999999999,-3.714484,6,0.3596379999999998,-0.7380000000000002,-0.2376379999999999,-0.8600000000000001,1.8249,-3.5606160000000004,2.782538,1.6848999999999998,-3.966234000000001,0.7528419999999995,-0.3447960000000005,-0.6476000000000002,-1.68,1.0419538609559995,0.2047960000000004,0.5076,1.7447960000000005,6.688187860956,3.4146340000000004,10.111953860956,6.8384,-0.4500379999999998,0.1149,9.65,1.81875866,2.4737999999999998,55,10.365982,6.509999999999999,5.9,1.226955324,2.65608,1.11198716,2.4072,18.6245,286.99660811378004,29.5,1.5974958318479997,3.4582161599999988,1.04789444407192,48.25,1.7139290483549199,275,9.768507529484,8.476019999999998,6.962000000000001,1.156236073035288,5.418403199999998,1.505419367091945,7.054760966399997,10.675923999999998,-1.87,5.69151,4.5007160000000015,9.223907721912001,2.6768,-1.842438,3.5463620000000002,4.644,12.4498,4.332769999999999,1.96,1.82,7.866952,3.5710320000000007,0.5639999999999996,0.16428399999999946,6.507438,-3.78,0.7447999999999997,14.264421860955999,6.561753860955999,0.0
0.47,65,95,1.805,1.84,1.092,1.93,2.96,7.5762339999999995,11.81381,11,7,1.3019999999999998,3.3635882000000006,1.18,2.64,47,35,0.0,0.0,4.89,5.2935882,4.57,10.536234,4.262,4.14,19.390044,14.576234,10.939822200000002,22.81381,18,4.6655882,3.9419999999999997,4.5435882,3.82,6.6849,7.1648999999999985,7.0884882000000005,16.337834,5.0587922,3.1563174999999988,4.335203999999999,12.774839079179245,4.0324,4.655204,4.3523999999999985,18.889959579179248,14.545834,22.313725579179238,4.755988200000001,-1.03,-9.88381,-5.07,-1.4335882000000006,-0.7100000000000002,-4.6162339999999995,-8.04,1.658,1.78,-4.136234,2.138,0.07641179999999936,2.26,0.7999999999999998,-4.237576,0.5762340000000004,4.2126458,4.936234000000002,0.8138100000000001,4,-2.061588200000001,-1.3380000000000003,2.183588200000001,-1.4600000000000002,0.7648999999999999,-8.08891,0.3613117999999993,1.0848999999999998,1.1853659999999993,-1.6683842000000009,-0.9447960000000006,-1.2476000000000005,-6.8316,-9.383725579179243,1.2647960000000005,1.5676,1.7447960000000005,-3.7374915791792422,0.6066339999999997,-0.31372557917924304,4.030399999999998,1.9711882000000007,-5.0367,13.51,6.491725226000002,3.85392,77,36.99947020000001,9.114,8.26,4.3793918364,3.4372800000000003,3.9690340760000007,3.1152,26.0743,401.79525135929197,57.82,5.7019681709927985,4.475338559999999,13.350196183431509,94.57,21.835490367815943,539,124.45098137097168,11.866427999999996,9.7468,14.730470704091372,9.0744192,19.179072856726965,11.8148937984,15.204218,-3.99,0.8490575999999992,9.029010000000001,-11.627451158358483,-2.9392000000000014,0.5787882000000009,5.967588200000001,5.244,14.4498,6.7539962,0.8999999999999999,1.2199999999999998,3.338658000000001,12.62762,-0.03600000000000048,-4.3640099999999995,4.086211799999999,6.523199999999999,0.1447999999999996,3.8387424208207577,-3.8639255791792433,2.5145
0.13,65,82,1.805,1.432,1.3430000000000002,1.93,3.04,7.5762339999999995,14.53413,11,5,1.3019999999999998,-1.4,1.18,3.0,47,7,0.0,0.0,4.97,0.53,4.93,10.616234,4.342,4.22,22.110364,12.576234,6.176234000000001,25.53413,16,-0.09800000000000007,4.302,-0.22,4.18,6.7649,7.1648999999999985,2.3249,16.817834,0.2952039999999996,3.1563174999999988,4.695204,3.4211135,4.3924,4.735204,4.4324,9.536234,16.576234,12.96,-0.007600000000000051,-1.11,-12.60413,-3.0700000000000003,3.33,-1.07,-4.536233999999999,-7.96,1.7380000000000002,1.86,-4.136234,2.138,4.84,2.26,0.44,-6.957895999999999,2.5762340000000004,8.976234,4.5762339999999995,3.5341299999999998,6,2.702,-1.6980000000000002,-2.58,-1.82,0.6848999999999998,-10.80923,5.1249,0.7248999999999999,1.6653659999999997,3.0952039999999994,-1.3047960000000005,-1.6076,-7.3116,-0.029999999999999805,1.3447960000000003,1.6476000000000002,1.7447960000000005,5.6162339999999995,-1.4237659999999996,9.04,2.0,-2.7924,-5.5167,9.65,-2.702,3.95808,55,-15.4,6.509999999999999,5.9,-1.8227999999999995,3.906,-1.652,3.54,18.6245,286.99660811378004,29.5,-2.373285599999999,5.085611999999999,2.3128,48.25,3.7828,275,21.56,8.476019999999998,6.962000000000001,2.5519199999999995,11.717999999999998,3.3225998399999987,15.256835999999995,17.924538000000002,-4.15,10.376234,11.74933,7.08,-7.0,-4.184799999999999,1.2039999999999995,5.603999999999999,12.4498,1.990407999999999,0.8199999999999998,0.8599999999999999,0.6183380000000014,18.068260000000002,-0.3960000000000004,-7.0843300000000005,8.8498,7.4832,-0.21520000000000028,13.192468000000002,5.4898,2.0191
0.38,65,83,1.805,1.604,1.149,1.93,2.19,7.5762339999999995,10.486686,11,5,1.3019999999999998,0.746607,1.18,2.18,47,15,0.0,0.0031000000000007692,4.12,2.676607,4.11,9.766233999999999,3.492,3.37,18.06292,12.576234,8.322841,21.486686,16,2.048607,3.4819999999999998,1.926607,3.3600000000000003,5.9148999999999985,7.1648999999999985,4.471507,12.372334,2.4418109999999995,3.1563174999999988,3.875204,2.018535512449,3.5724,3.885204,3.5824,8.133656012449,12.328634,11.557422012448999,2.139007,-0.26,-8.556686000000001,-3.0700000000000003,1.1833930000000001,-0.2500000000000002,-5.386234,-8.81,0.8880000000000001,1.01,-4.136234,2.138,2.693393,2.26,1.2599999999999998,-2.9104520000000003,2.5762340000000004,6.829627,5.396234,-0.5133139999999994,6,0.5553929999999998,-0.8780000000000003,-0.4333929999999999,-1.0000000000000002,1.5349,-6.761786000000002,2.978293,1.5448999999999995,-2.7801340000000003,0.9485969999999996,-0.4847960000000007,-0.7876000000000003,-2.8661000000000003,1.3725779875509998,0.4947960000000005,0.7976000000000001,1.7447960000000005,7.018811987551,2.823834,10.442577987551001,6.2475999999999985,-0.6457929999999998,-1.0712000000000002,9.65,1.44095151,2.85138,55,8.212677000000001,6.509999999999999,5.9,0.972082314,2.83836,0.88099626,2.5724,18.6245,286.99660811378004,29.5,1.2656511728279995,3.6955447199999987,0.65775797468982,48.25,1.0758244840265698,275,6.131642136939,8.476019999999998,6.962000000000001,0.7257634602085979,6.1876248,0.9449440251915944,8.056287489599999,13.877094,-2.45,6.083019999999999,7.701886000000001,9.885155975102,1.4951999999999988,-2.038193,3.350607,4.784,12.4498,4.137014999999999,1.67,1.6799999999999995,4.665782,9.973372,0.4239999999999995,-3.0368860000000013,6.703193,-1.4078,0.6047999999999996,14.595045987551,6.892377987551,2.0266
0.6,65,85,1.805,1.942,1.019,1.93,2.05,7.5762339999999995,8.608389,11,5,1.3019999999999998,1.046,1.18,2.08,47,51,0.0,0.0,3.98,2.9760000000000004,4.01,9.626234,3.3519999999999994,3.2299999999999995,16.184623000000002,12.576234,8.622233999999999,19.608389000000006,16,2.3480000000000003,3.382,2.226,3.26,5.7749,7.1648999999999985,4.7709,11.778734,2.741204,3.1563174999999988,3.775204,2.5552295000000003,3.4724,3.7452039999999993,3.4424,8.670350000000001,11.902633999999999,12.094116,2.4384,-0.11999999999999987,-6.678389000000001,-3.0700000000000003,0.8839999999999999,-0.15000000000000013,-5.5262340000000005,-8.95,0.748,0.8699999999999999,-4.136234,2.138,2.394,2.26,1.36,-1.0321550000000004,2.5762340000000004,6.530234,5.496233999999999,-2.3916109999999997,6,0.2559999999999998,-0.7780000000000002,-0.1339999999999999,-0.9000000000000001,1.6749,-4.883489000000001,2.6789,1.6448999999999998,-3.3737340000000007,0.6492039999999994,-0.3847960000000006,-0.6876000000000002,-2.2725,0.8358839999999998,0.35479600000000033,0.6576,1.7447960000000005,6.482118,3.249834,9.905884,6.6736,-0.3463999999999998,-0.4775999999999998,9.65,2.01878,2.6691,55,11.505999999999998,6.509999999999999,5.9,1.361892,2.70816,1.2342799999999998,2.4544,18.6245,286.99660811378004,29.5,1.7731833839999995,3.526024319999999,1.29105688,48.25,2.11164388,275,12.035276,8.476019999999998,6.962000000000001,1.424539032,5.632972799999999,1.8547498196639995,7.3341305856,11.998797,-2.17,5.484234000000002,5.823589000000001,8.811767999999999,2.347199999999999,-1.7387999999999997,3.65,4.683999999999998,12.4498,4.436407999999999,1.81,1.7799999999999998,6.544079,6.2167780000000015,0.5239999999999996,-1.158589000000001,6.4038,-2.5950000000000006,0.7047999999999996,14.058352,6.355683999999999,0.0
0.54,65,46,1.805,1.7990000000000002,1.053,1.93,1.63,7.5762339999999995,6.746187,11,5,1.3019999999999998,0.525,1.18,0.84,47,23,0.0,1.9785000000000004,3.56,2.455,2.77,9.206234,2.9319999999999995,2.81,14.322420999999999,12.576234,8.101234,17.746187,16,1.827,2.142,1.705,2.02,5.3549,7.1648999999999985,4.2499,10.233134,2.2202039999999994,3.1563174999999988,2.535204,1.7367384999999997,2.2324,3.3252039999999994,3.0224,7.851858999999999,8.281834,11.275625,1.9174,0.30000000000000004,-4.816187,-3.0700000000000003,1.4049999999999998,1.09,-5.9462340000000005,-9.37,0.3280000000000001,0.45,-4.136234,2.138,2.915,2.26,2.6,0.8300470000000004,2.5762340000000004,7.051234,6.7362340000000005,-4.253813,6,0.7769999999999998,0.4619999999999999,-0.6549999999999999,0.34,2.0949,-3.021287,3.1999,2.8849,-4.919334000000001,1.1702039999999996,0.8552039999999995,0.5523999999999999,-0.7268999999999999,1.654375,-0.0652039999999996,0.23760000000000006,1.7447960000000005,7.3006090000000015,6.870634000000001,10.724375,10.2944,-0.8673999999999998,1.068,9.65,1.01325,2.12226,55,5.775,6.509999999999999,5.9,0.68355,1.0936799999999998,0.6194999999999999,0.9912,18.6245,286.99660811378004,29.5,0.8899820999999998,1.4239713599999997,0.3252375,48.25,0.53195625,275,3.0318750000000003,8.476019999999998,6.962000000000001,0.35886375,0.9186911999999996,0.4672406024999999,1.1961359423999995,10.136595,-1.3299999999999998,6.5262340000000005,3.961387,10.44875,9.5888,-2.2598,3.129,3.4439999999999995,12.4498,3.915407999999999,2.23,3.02,8.406281,2.4923740000000003,1.7639999999999998,0.7036129999999998,6.9247999999999985,-5.6862,1.9448,14.876843,7.174175,1.6427
0.27,73,72,1.644,1.371,0.933,1.61,2.04,5.9857684,8.298019,3,3,0.43283,0.279723,1.66,2.0,13,5,0.0,0.0,3.65,1.889723,3.61,8.0257684,2.47283,3.7,14.2837874,8.985768400000003,6.2654914,11.298019,6,0.712553,2.43283,1.939723,3.66,4.6321,6.0321,2.8718230000000005,10.1473684,0.4670648089,1.6484553088999998,2.1873418089,1.539358456729,4.7555999999999985,2.2273418089,4.7956,6.064013356728999,9.9857684,3.0782449567290002,3.035323,-0.43,-6.688019000000001,-1.39,1.3302770000000002,-0.3899999999999999,-3.9457684,-0.96,1.60717,0.3800000000000001,-2.5457684000000005,3.00717,3.1602770000000002,1.78,1.44,-2.3122506,2.9857684000000004,5.706045400000002,3.9857684,5.298019,0,0.153107,-1.5671700000000002,-1.380277,-0.3400000000000001,0.5521000000000003,-5.705919000000001,2.312377,0.5921000000000003,-1.8241684000000005,-0.0923811911,-1.8126581911000001,0.7555999999999998,-2.5516,1.531755043271,1.8526581911000002,-0.7155999999999998,3.2526581911,5.907523443271001,1.9857684000000004,2.9217550432709998,-1.0,-2.475877,-1.5694999999999997,4.83,0.45035403,0.8829732,9,0.839169,1.29849,4.98,0.12107250609000002,0.86566,0.46434018,3.32,7.776300000000001,107.48827001531569,14.94,0.052403812810934695,0.37468361780000004,0.12988662817014,14.49,0.12597438033369002,27,0.234734870187,0.5620254267,8.2668,0.03386676462101307,1.73132,0.014658551730913088,0.7493672356000001,8.672702617799999,-2.47,5.4263224,2.7868190000000004,2.843510086542,-5.0,-5.231477,1.145383,2.8656599999999997,8.1842,0.6544066178,1.1800000000000002,1.2200000000000002,3.6735178000000013,13.596038,-1.13434,-3.1138189999999994,4.904477000000001,5.3232,3.5112,11.893291843271001,5.105955043271001,5.8626000000000005
0.645,73,55,1.644,1.751,0.758,1.61,1.83,5.9857684,7.9024678,3,8,0.43283,0.151,1.66,0.99,13,26,0.0,1.8845,3.4400000000000004,1.761,2.6,7.8157684,2.26283,3.49,13.8882362,13.9857684,6.1367684,10.902467800000002,11,0.5838300000000001,1.4228299999999998,1.811,2.65,4.4221,6.0321,2.7431,9.334668400000002,0.3383418089,1.6484553088999998,1.1773418089,1.4839145,3.7456,2.0173418089,4.5856,6.008569400000002,6.9658684000000015,3.022801,2.9066,-0.22,-6.2924678,-6.39,1.459,0.6200000000000001,-4.1557684,-1.17,1.39717,0.17000000000000015,-2.5457684000000005,3.00717,3.2889999999999997,1.78,2.45,-1.9166994,-2.0142316,5.8347684000000015,4.9957684,4.9024678,-5,0.28183,-0.5571699999999999,-1.5090000000000001,0.6699999999999999,0.7621000000000002,-5.3103678,2.4411000000000005,1.6021000000000003,-2.6368683999999996,0.0363418089,-0.8026581911,1.7655999999999998,-1.7389000000000003,1.587199,1.6426581911000002,-0.9255999999999998,3.2526581911,5.962967400000001,5.0056684,2.977199,2.0199,-2.6046,-0.7568000000000001,12.88,0.24311,0.7920789,24,0.453,3.46264,13.28,0.06535732999999999,0.4285017,0.25066,1.6434,20.7368,286.63538670750853,106.24,0.0282886131439,0.18546839081099997,0.037849659999999986,103.04,0.03670961,192,0.06840299999999999,1.4987344712000001,22.0448,0.00986895683,0.424216683,0.0042715805847289,0.18361370690289,8.277151417799999,-2.05,5.683768400000001,2.3912678000000005,2.954398,1.0398,-5.3602,1.0166600000000001,1.85566,13.1842,0.5256836178000001,1.39,2.2300000000000004,4.069069000000002,12.8049356,-0.12434,-2.7182678,5.033200000000001,3.6978000000000013,4.5211999999999986,11.9487358,5.161398999999999,0.6706000000000003
0.16,9,77,2.285,1.39,1.386,0.89,2.55,5.211664,11.260296,2,4,0.14462,1.262119,0.5,2.5,56,6,2.2831,5.9024,3.44,2.152119,3.39,7.761664,2.69462,3.05,16.47196,9.211664,6.473783,13.260295999999999,6,1.406739,2.64462,1.7621189999999998,3.0,3.3421,4.2321,2.054219,11.714164,1.2830339444,1.4820284444,2.5209149444,3.054057870161,2.75,2.5709149444,2.8,6.8046083701610005,11.461664,3.592944370161,1.512119,-1.6599999999999997,-10.370296000000002,-3.11,-0.37211900000000003,-1.61,-2.661664,0.5499999999999998,2.40538,2.05,-1.771664,3.29538,2.177881,2.94,0.94,-6.0486320000000005,1.211664,3.949545,2.711664,9.260296,-2,-1.117499,-2.35538,0.762119,-2.0,-1.7578999999999998,-10.468196,-0.470019,-1.7079,1.2908359999999997,-1.2412040556000001,-2.4790850556,-2.25,-5.6125,-0.7029443701610001,2.5290850556,2.3,3.4190850556,3.618719629839,-1.038336,0.407055629839,-4.25,1.012119,-5.7104,3.56,1.12328591,0.368781,8,2.524238,0.57848,2.0,0.18252764978,0.36155,0.6310595,1.25,3.1684,108.64576659558399,8.0,0.0263971487111836,0.052287361,0.7964721850805,14.24,1.41772048944329,32,3.185888740322,0.0836597776,1.0,0.2303716148126838,0.903875,0.03331634293421033,0.1307184025,11.302125888800001,-4.21,2.687426,10.760296,-1.185888740322,-10.5,0.762119,1.551359,2.78924,5.5842,1.3039488888,-0.7699999999999998,-0.72,-0.8369680000000006,20.520592,-2.21076,-9.676096,0.3220810000000001,11.005,-2.0,8.830383629839,-0.008744370160999937,4.0966000000000005
0.53,9,58,2.285,1.72,1.113,0.89,1.88,5.211664,7.881010000000001,2,9,0.14462,0.66225646,0.5,1.04,56,27,2.2831,0.3470999999999997,2.77,1.5522564600000002,1.93,7.091664,2.02462,2.38,13.092674,14.211664,5.87392046,9.88101,11,0.80687646,1.18462,1.16225646,1.54,2.6721,4.2321,1.45435646,8.746064,0.6831714044,1.4820284444,1.0609149444,1.8996971188117315,1.29,1.9009149444,2.13,5.650247618811733,6.293264,2.438583618811732,0.91225646,-0.99,-6.99101,-8.11,0.22774354,-0.15000000000000002,-3.331664,-0.1200000000000001,1.73538,1.38,-1.771664,3.29538,2.77774354,2.94,2.4,-2.669346,-3.788336,4.54940754,4.171664,5.88101,-7,-0.5176364600000001,-0.8953800000000001,0.16225646000000005,-0.54,-1.0879,-7.08891,0.12984353999999998,-0.2479,-1.6772639999999999,-0.6413415156000001,-1.0190850556,-0.79,-2.6444,0.4514163811882684,1.8590850556,1.63,3.4190850556,4.773080381188269,4.130064,1.5614163811882684,0.9184,0.4122564600000001,-2.7423,8.01,0.5894082494,0.27188559999999995,18,1.32451292,1.30158,4.5,0.0957755292452,0.15040479999999998,0.33112823,0.52,7.1289,244.452974840064,40.5,0.013851057039440827,0.021751542176,0.21929180940586585,72.09,0.3903394207424412,162,0.8771672376234633,0.18823449960000002,2.25,0.06342796295255262,0.15642099199999998,0.009172952002198162,0.022621603863039998,7.9228398888,-2.87,3.88715108,7.381010000000001,1.1228327623765368,-0.16320000000000026,0.16225646000000005,0.95149646,1.32924,10.5842,0.7040863488000001,-0.09999999999999988,0.74,2.542318,13.762020000000001,-0.7507600000000001,-6.29681,0.92194354,5.0688,-0.54,9.984744381188268,1.1456163811882685,0.0
